sr.No,username,password,businessReferenceCode,fullName,gender,businessName,accountUuid,identityNumber,identityType,dateOfBirth
1,andersontorp_1325287@aspireapp.com,12345678Ac!,SGSWAL,Janelle Heller,Female,,
2,gretabartoletti_7367173@aspireapp.com,12345678Ac!,SGCASA,Olga Ernser,Female,,
3,amarimorissette_4655499@aspireapp.com,12345678Ac!,SGSTAA,Abraham Satterfield,Female,,
4,saas_admin@aspireapp.com,12345678Ac!,SGSAAA,Saas Admin,Female,,
5,lelaprohaska_8494526@aspireapp.com,12345678Ac!,SGPREJ,Stella Stokes,Male,,
6,wilburnbraun_4387304@aspireapp.com,123456,SGNUNM,Nasir Bogisich,Male,,
7,clevecarroll_9413870@aspireapp.com,12345678Ac!,SGKUPY,Christopher Hintz,Female,,
8,darbykris_9257611@aspireapp.com,12345678Ac!,SGMRSP,Christop Paucek,Female,,
9,gisselleroberts_6539465@aspireapp.com,123456,SGNUNM,Kip Schuppe,Male,,
10,hk_employee_bo@example.com,123123Ac!,SGNUNM,Employee Bo,Female,,
11,tysonkuphal_4565520@example.org,12345678Ac!,SGMCLN,Gabriel Rippin,Male,,
12,saas_admin_edit@aspireapp.com,12345678Ac!,SGSAAA,Saas Admin Edit,Female,,
13,admin@auto.com,12345678Ac!,SGAUCZ,Admin Auto,Male,,
14,camdenwalsh_3942445@example.net,12345678Ac!,SGSCGT,Carmela Gutkowski,Male,,
15,finance.transfer@auto.com,12345678Ac!,SGLTDA,Finance Transfer Auto,Male,,
16,tn_submit@example.com,12345678Ac!,SGLTDA,Admin,Male,,
17,tn_emp1@example.com,12345678Ac!,SGLTDA,Admin,Male,,
18,fabiolabarrows_5631215@example.com,12345678Ac!,SGAUTF,Jordyn Yost,Male,,
19,laronbayer_9692859@aspireapp.com,12345678Ac!,SGMCLN,Carmen Champlin,Male,,
20,jeaniechamplin_706238@aspireapp.com,12345678Ac!,SGQUTL,Caitlyn Gulgowski,Male,,
21,garlandbreitenberg_1381156@aspireapp.com,12345678Ac!,SGFUNK,Skylar Deckow,Male,,
22,ad-bk@aspireapp.com,12345678Ac!,SGBKKK,Admin,Male,Bookkeeping,98a69785-592c-41ba-951a-b6ff565c2ef6
23,domingosawayn_3596073@aspireapp.com,12345678Ac!,SGMCLN,Elbert Ankunding,Female,,
24,rebeccabednar_8104980@example.com,12345678Ac!,SGBECG,Floy Torp,Female,,
25,finance.transfer.no.transfer.or.submit_810264@aspireapp.com,12345678Ac!,SGDAR5,Finance No Transfer Or Submit,Male,,
26,finance.submit.only_2179792@aspireapp.com,12345678Ac!,SGDAR5,Finance Submit Only,Female,,
27,finance.transfer.only_1702515@aspireapp.com,12345678Ac!,SGDAR5,Finance Transfer Only,Female,,
28,finance.transfer.no.transfer.or.submit_3510196@aspireapp.com,12345678Ac!,SGMCLN,Finance No Transfer Or Submit,Female,,
29,finance.submit.only_2051741@aspireapp.com,12345678Ac!,SGMCLN,Finance Submit Only,Female,,
30,finance.transfer.only_6276045@aspireapp.com,12345678Ac!,SGMCLN,Finance Transfer Only,Female,,
31,amyahartmann_1513994@aspireapp.com,12345678Ac!,SGBECG,Shirley Kerluke,Male,,
32,destineegoyette_8856092@aspireapp.com,12345678Ac!,SGBECG,Cornelius Durgan,Male,,
